% Feature correlation 

@relation 'Feature correlation'

@attribute 'First feature id' numeric
@attribute 'First feature dimension' numeric
@attribute 'Second feature id' numeric
@attribute 'Second feature dimension' numeric
@attribute 'Correlation coefficient' numeric

@data
0,1,1,1,0.71844
0,1,1,2,0.25582
0,1,1,3,0.29805
0,1,1,4,0.18187
0,1,1,5,0.19086
0,1,1,6,0.14129
0,1,1,7,0.14459
0,1,1,8,0.11819
0,1,1,9,0.11188
0,1,1,10,NaN
0,1,2,1,0.082952
0,1,2,2,0.10008
0,1,3,1,0.64978
0,1,3,2,0.61798
0,1,4,1,0.19663
0,1,6,1,0.084364
0,1,7,1,0.22428
0,1,10,1,0.39056
0,1,10,2,0.29045
0,1,14,1,0.80067
0,1,15,1,0.17806
0,1,16,1,0.56541
0,1,17,1,0.62376
0,1,18,1,0.42506
0,1,19,1,0.089072
0,1,19,2,0.085017
0,1,19,3,0.098469
0,1,19,4,0.10945
0,1,20,1,0.087847
0,1,20,2,0.095743
0,1,20,3,0.11639
0,1,20,4,0.13941
0,1,21,1,0.83221
0,1,22,1,0.12308
0,1,23,1,0.79059
0,1,24,1,0.26359
0,1,25,1,0.80025
0,1,25,2,0.62054
0,1,25,3,0.6664
0,1,25,4,0.59113
0,1,28,1,0.18254
0,1,28,2,0.59448
0,1,28,3,0.16314
0,1,28,4,0.19156
0,1,28,5,0.10524
0,1,28,6,0.12817
0,1,28,7,0.080906
0,1,28,8,0.084245
0,1,28,9,0.074894
0,1,28,10,0.072052
0,1,28,11,0.058532
0,1,28,12,0.06144
0,1,28,13,0.054097
0,1,29,1,0.23981
0,1,30,1,0.18178
0,1,31,1,0.21957
0,1,32,1,0.32808
0,1,33,1,0.59243
0,1,38,1,0.64631
0,1,38,2,0.21342
0,1,38,3,0.17567
0,1,38,4,0.18987
0,1,38,5,0.12812
0,1,38,6,0.13321
0,1,38,7,0.12759
0,1,38,8,0.11139
0,1,38,9,0.099117
0,1,38,10,0.10481
0,1,38,11,0.096532
0,1,38,12,0.089529
0,1,38,13,0.078349
0,1,38,14,0.080162
0,1,38,15,0.069801
0,1,38,16,0.068849
0,1,38,17,0.070487
0,1,38,18,0.065037
0,1,38,19,0.068642
0,1,38,20,0.064494
0,1,39,1,0.56062
0,1,39,2,0.19065
0,1,39,3,0.19342
0,1,39,4,0.12963
0,1,39,5,0.12064
0,1,39,6,0.095301
0,1,39,7,0.074936
0,1,39,8,0.064427
0,1,39,9,0.06993
0,1,39,10,0.062329
0,1,39,11,0.06595
0,1,39,12,0.059384
0,1,39,13,0.057972
0,1,40,1,0.25329
0,1,40,2,0.16903
0,1,40,3,0.11209
0,1,40,4,0.10747
0,1,40,5,0.0923
0,1,40,6,0.10216
0,1,40,7,0.11246
0,1,40,8,0.13143
0,1,40,9,0.14179
0,1,40,10,0.14733
0,1,40,11,0.17385
0,1,40,12,0.19272
0,1,40,13,0.22905
0,1,40,14,0.25179
0,1,40,15,0.28643
0,1,40,16,0.31346
0,1,40,17,0.35743
0,1,40,18,0.41732
0,1,40,19,0.47648
0,1,40,20,0.51572
0,1,40,21,0.5433
0,1,40,22,0.55051
0,1,40,23,0.52121
0,1,41,1,0.13124
0,1,41,2,0.13567
0,1,41,3,0.13912
0,1,41,4,0.12965
0,1,41,5,0.12144
0,1,41,6,0.12881
0,1,41,7,0.13558
0,1,41,8,0.12596
0,1,42,1,0.1268
0,1,42,2,0.13713
0,1,42,3,0.14693
0,1,42,4,0.15464
0,1,42,5,0.15811
0,1,42,6,0.10366
0,1,42,7,0.11521
0,1,42,8,0.13183
0,1,42,9,0.14706
0,1,42,10,0.14985
0,1,60,1,0.077293
0,1,60,2,0.090924
0,1,60,3,0.089471
0,1,60,4,0.097156
0,1,60,5,0.092982
0,1,60,6,0.10378
0,1,60,7,0.10327
0,1,60,8,0.14779
0,1,60,9,0.17611
0,1,60,10,0.1391
0,1,61,1,0.18798
0,1,61,2,0.14119
0,1,61,3,0.10437
0,1,61,4,0.1097
0,1,61,5,0.14856
0,1,61,6,0.20463
0,1,61,7,0.28418
0,1,61,8,0.37271
0,1,61,9,0.50098
0,1,61,10,0.56096
0,1,62,1,0.03454
0,1,62,2,0.043113
